"ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","type","afterbreak","breakR"
"H1323",17,"34",9,4,7,4,15,5,7,3,0.3060625,0.1195,0.18725,0.577972086107358,4.897,1.405,1.934,2.31188834442943,5,1,60,"1","H",1,9
"H1323",18,"35",11,12,9,1,23,15,15,0,0.223,0.324625,0.2574375,0.358,5.898,5.194,4.696,1.03388834442943,5.75,0.5,23,"1","H",1,9
"H1323",18,"36",15,9,9,6,51,14,11,5,0.137711538461538,0.1466,0.2275,0.137648057404906,7.161,2.621,3.104,1.29588834442943,5.75,0.5,23,"1","H",1,9
"H1323",19,"37",11,10,4,9,15,26,4,9,0.27725,0.304555555555556,0.3056,0.224788834442943,5.398,8.223,2.494,3.18488834442943,5.5,0,22,"1","H",1,9
"H1323",19,"38",9,5,7,12,15,4,18,21,0.2145,0.3182,0.138684210526316,0.291222197474065,3.604,1.591,3.135,6.89288834442943,5.75,0.5,23,"1","H",1,9
"H1323",20,"39",10,7,18,1,18,6,27,0,0.127315789473684,0.365714285714286,0.268428571428571,0.452,4.244,2.56,8.297,0.779888344429433,6,1,72,"1","H",1,9
"H1342",1,"1",14,20,7,15,29,97,18,37,0.188266666666667,0.257418367346939,0.220842105263158,0.312657749402092,34.008,30.483,7.16,15.1099944772795,4,0,16,"0","H",0,7
"H1342",1,"2",20,4,13,7,119,5,18,9,0.231916666666667,0.236666666666667,0.239736842105263,0.1887,35.566,2.824,5.631,4.493,5,0,20,"0","H",0,7
"H1342",2,"3",18,2,4,1,56,1,3,0,0.23480701754386,0.3355,0.148,0.437,33.447,0.671,0.592,0.843,2,1,24,"0","H",0,7
"H1342",2,"4",20,2,19,8,167,1,60,15,0.282940476190476,0.211,0.272606557377049,0.213749654829968,48.438,0.624,17.691,4.38699447727948,2.5,0,10,"0","H",0,7
"H1342",3,"5",20,2,4,6,74,2,3,8,0.237506666666667,0.166333333333333,0.199,0.162888888888889,24.242,0.499,0.796,2.74499447727948,2,1,24,"0","H",0,7
"H1342",3,"6",17,4,2,10,33,3,2,16,0.319352941176471,0.21075,0.265,0.361529411764706,10.92,0.843,0.795,7.629,2,1,24,"0","H",0,7
"H1342",4,"7",20,4,6,13,81,3,8,13,0.290695121951219,0.22625,0.0953333333333333,0.183857142857143,25.537,0.936,0.858,3.16299447727948,2,1,24,"0","H",0,7
"H1342",4,"8",20,1,11,5,74,0,16,6,0.372946666666667,0.437,0.378117647058824,0.317999211039926,29.141,1.358,7.161,3.02199447727948,4.25,0.5,17,"0","H",0,7
"H1342",5,"9",20,5,4,9,102,7,4,11,0.28095145631068,0.18125,0.5678,0.652166206439957,30.903,2.434,3.463,9.60499447727948,3,1,36,"0","H",0,7
"H1342",5,"10",20,3,12,4,139,2,19,3,0.301635714285714,0.202666666666667,0.23795,0.1325,42.229,0.608,5.664,0.593,4.5,0.5,18,"0","H",0,7
"H1342",6,"11",20,5,14,13,77,8,20,19,0.253602564102564,0.124777777777778,0.185714285714286,0.294899723863974,19.984,2.356,4.695,7.06699447727948,3.75,0.5,15,"0","H",0,7
"H1342",6,"12",20,2,3,3,62,1,2,2,0.286,0.499,0.187333333333333,0.280666666666667,20.514,0.998,0.562,0.915994477279484,4,1,48,"0","H",0,7
"H1342",7,"13",15,2,14,5,37,1,15,6,0.361657894736842,0.5865,0.3588125,0.509570639611355,15.007,1.81,6.489,4.45699447727948,2,1,24,"1","H",1,7
"H1342",7,"14",20,2,5,2,47,1,4,1,0.276583333333333,0.4525,0.3056,0.2185,13.276,0.905,1.528,0.820994477279484,5,0,20,"1","H",1,7
"H1342",8,"16",20,1,1,2,90,0,0,1,0.306857142857143,0.468,0.265,0.240497238639742,28.954,0.468,0.452,1.44899447727948,3.5,0.5,14,"1","H",1,7
"H1342",9,"17",20,3,2,1,78,2,1,0,0.310417721518987,0.187333333333333,0.5695,0.094,24.554,0.734,1.934,0.39,4.5,0.5,18,"1","H",1,7
"H1342",9,"18",19,2,3,3,66,1,2,3,0.277074626865672,0.382,0.26,0.44075,19.219,0.764,2.201,2.433,2,1,24,"1","H",1,7
"H1342",10,"19",19,2,3,20,67,1,2,89,0.281029411764706,0.3045,0.286,0.422377716414216,19.5,0.609,0.858,39.8719944772795,3,0.5,12,"1","H",1,7
"H1342",10,"20",17,3,2,3,39,2,1,2,0.308475,0.234,0.351,0.311664825759828,13.011,0.702,0.795,1.60599447727948,4,1,48,"1","H",1,7
"H1342",11,"21",20,7,5,10,120,6,9,22,0.239404958677686,0.205142857142857,0.1497,0.20665193379476,29.671,1.436,2.183,5.89299447727948,4.25,0,17,"1","H",1,7
"H1342",11,"22",20,4,1,5,176,3,0,9,0.278943502824859,0.19875,0.437,0.0477994477279484,50.56,0.795,0.437,0.477994477279484,2,1,24,"1","H",1,7
"H1342",12,"23",20,3,4,16,122,3,4,26,0.256317073170732,0.2225,0.1404,0.336814814814815,32.339,0.89,0.702,12.262,2,1,24,"1","H",1,7
"H1342",12,"24",20,9,12,1,144,18,19,0,0.271448275862069,0.184684210526316,0.28935,0.670994477279484,41.45,4.664,6.848,1.38799447727948,4.5,0.5,18,"1","H",1,7
"H1466",1,"1",19,5,14,6,50,7,21,11,0.254274509803922,0.190875,0.185772727272727,0.35449331976225,20.982,2.699,5.086,4.924919837147,2.25,0.5,9,"0","H",0,9
